x1, x2, 
0.849316, 0.16561, 
0.833028, 0.240936, 
0.828798, 0.274481, 
0.824493, 0.325258, 
0.857687, 0.35677, 
0.878062, 0.396211, 
0.858717, 0.225535, 
0.859286, 0.212604, 
0.852445, 0.227001, 
0.851586, 0.235723, 
0.849803, 0.266059, 
0.837593, 0.287446, 
0.830041, 0.312178, 
0.832899, 0.311313, 
0.822612, 0.357393, 
0.646519, 0.397233, 
0.820448, 0.506155, 
0.657907, 0.432735, 
0.878185, 0.442516, 
0.642263, 0.405437, 
0.896451, 0.511857, 
0.855417, 0.240961, 
0.852262, 0.242413, 
0.850917, 0.290457, 
0.841096, 0.29973, 
0.831045, 0.326472, 
0.830129, 0.356692, 
0.833779, 0.315526, 
0.823362, 0.382647, 
0.814962, 0.401495, 
0.639181, 0.413435, 
0.629991, 0.413758, 
0.661511, 0.409371, 
0.824555, 0.424485, 
0.85588, 0.439275, 
0.811692, 0.520477, 
0.501948, 0.653501, 
0.519973, 0.703258, 
0.906438, 0.546509, 
0.993584, 0.554336, 
0.85528, 0.253854, 
0.855197, 0.285199, 
0.853085, 0.290033, 
0.848943, 0.300506, 
0.843093, 0.301016, 
0.841126, 0.30367, 
0.838118, 0.31583, 
0.837282, 0.320231, 
0.835565, 0.387914, 
0.639461, 0.417526, 
0.671417, 0.414437, 
0.874174, 0.470129, 
0.647509, 0.453836, 
0, 1, 
0, 1, 
0.930222, 0.712858, 
0.944287, 0.750736, 
0.891324, 0.560941, 
0.7117, 0.660832, 
0.990849, 0.589405, 
0.860199, 0.260869, 
0.856445, 0.277895, 
0.858605, 0.260958, 
0.857986, 0.261236, 
0.853093, 0.292749, 
0.841837, 0.308608, 
0.84828, 0.305356, 
0.660025, 0.441072, 
0.647417, 0.442657, 
0.641198, 0.453379, 
0.826308, 0.425544, 
0.832906, 0.423214, 
0.817806, 0.435334, 
0.627041, 0.459733, 
0.998647, 0.52808, 
0.652729, 0.470265, 
0.932561, 0.729147, 
0.988966, 0.596815, 
0.700475, 0.621554, 
0.987684, 0.627665, 
0.334307, 0.792336, 
0.86789, 0.266412, 
0.657179, 0.483645, 
0.660924, 0.452613, 
0.454525, 0.482529, 
0.877535, 0.471786, 
0.660287, 0.444224, 
0.595966, 0.624821, 
0.780212, 0.696547, 
0.984039, 0.631318, 
0.474531, 0.549066, 
0.864678, 0.281246, 
0.863458, 0.352826, 
0.617267, 0.531441, 
0.84141, 0.433687, 
0.760629, 0.743804, 
0.949039, 0.753936, 
0.842567, 0.414602, 
0.845797, 0.383902, 
0.862914, 0.36263, 
